observation_id,comparison,comparison_family,rat_left,rat_right,rat_pair,model_run,procrustes_disparity,aligned_rmse,aligned_sse_over_target_ss
173,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,13,0.3322604712498351,0.5764203945471005,0.33226047124983493
174,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,14,0.1626192599071555,0.403260783993628,0.1626192599071555
175,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,15,0.15054805874394162,0.38800523030487816,0.1505480587439416
176,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,16,0.1642197203231966,0.40524032415740247,0.1642197203231966
177,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,17,0.4723140141620575,0.6872510561374623,0.47231401416205737
178,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,18,0.09991639328399991,0.31609554454942873,0.0999163932839999
179,A_vs_A,A_vs_A,rat0222,rat0314,rat0222__rat0314,19,0.20065441895341918,0.44794466059259946,0.20065441895341918
180,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,0,0.18290240139047945,0.42767090313754036,0.1829024013904794
181,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,1,0.19963922565695272,0.44681005545640157,0.19963922565695266
182,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,2,0.2865089273253741,0.5352652868675253,0.28650892732537414
183,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,3,0.5107883187908806,0.7146945632862198,0.5107883187908806
184,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,4,0.21208146342557344,0.4605230324593695,0.21208146342557352
185,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,5,0.21565031258907563,0.4643816454050221,0.21565031258907566
186,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,6,0.08914617661375394,0.2985735698513081,0.08914617661375394
187,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,7,0.19230297495725637,0.438523631013491,0.1923029749572564
188,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,8,0.1767586300355461,0.4204267237409465,0.17675863003554615
189,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,9,0.22049295526957616,0.46956677402641717,0.22049295526957632
190,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,10,0.14257077089759349,0.37758544847172465,0.14257077089759343
191,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,11,0.3480794689169635,0.5899826005205269,0.34807946891696356
192,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,12,0.22171050801893039,0.47086145310370264,0.2217105080189304
193,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,13,0.4741736099315526,0.6886026502501662,0.4741736099315526
194,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,14,0.20619404715171735,0.45408594687758985,0.20619404715171735
195,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,15,0.13810562214731037,0.3716256478599269,0.1381056221473104
196,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,16,0.22000359621492188,0.46904540954466434,0.22000359621492185
197,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,17,0.5818960696559915,0.7628211255962903,0.5818960696559914
198,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,18,0.21928217865343513,0.4682757506570623,0.2192821786534352
199,A_vs_B,A_vs_B,rat0222,rat0314,rat0222__rat0314,19,0.2896438305862897,0.5381856841149618,0.2896438305862895
200,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,0,0.14851466906040436,0.3853760099700089,0.1485146690604044
201,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,1,0.05001806923944282,0.22364719814798203,0.050018069239442735
202,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,2,0.23374839798134897,0.483475333374257,0.23374839798134894
203,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,3,0.4356431544381833,0.6600326919465301,0.4356431544381832
204,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,4,0.20431022709396646,0.4520068883257936,0.20431022709396648
205,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,5,0.42436836860797433,0.6514356212305056,0.42436836860797467
206,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,6,0.23422971832147965,0.4839728487441002,0.2342297183214796
207,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,7,0.281665313380315,0.5307215026549376,0.28166531338031486
208,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,8,0.19603256099393998,0.44275564479060003,0.19603256099393995
209,B_vs_A,A_vs_B,rat0222,rat0314,rat0222__rat0314,9,0.34694104923347874,0.5890170194769238,0.34694104923347874
