observation_id,rat_left,rat_right,rat_pair,comparison,comparison_family,model_run,rReal
205,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,5,0.4666666666666666
206,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,6,0.6121212121212121
207,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,7,0.309090909090909
208,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,8,0.5757575757575757
209,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,9,0.5030303030303029
210,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,10,0.43030303030303024
211,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,11,-0.0303030303030303
212,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,12,0.3939393939393939
213,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,13,0.2121212121212121
214,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,14,0.7818181818181817
215,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,15,0.6121212121212121
216,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,16,0.8060606060606059
217,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,17,0.8787878787878788
218,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,18,0.41818181818181815
219,rat0222,rat0314,rat0222__rat0314,B_vs_A,A_vs_B,19,0.16363636363636364
220,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,0,0.5878787878787878
221,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,1,0.6363636363636362
222,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,2,0.3939393939393939
223,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,3,0.22424242424242422
224,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,4,0.10303030303030303
225,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,5,-0.1515151515151515
226,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,6,0.7454545454545454
227,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,7,0.43030303030303024
228,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,8,0.5636363636363636
229,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,9,0.1515151515151515
230,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,10,0.6484848484848483
231,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,11,0.24848484848484845
232,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,12,0.19999999999999998
233,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,13,-0.28484848484848485
234,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,14,0.9030303030303028
235,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,15,0.11515151515151514
236,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,16,0.8060606060606059
237,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,17,0.6
238,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,18,0.3696969696969697
239,rat0222,rat0314,rat0222__rat0314,B_vs_B,B_vs_B,19,0.13939393939393938
240,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,0,0.7575757575757575
241,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,1,0.8787878787878788
242,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,2,-0.0303030303030303
243,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,3,0.8666666666666665
244,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,4,0.9151515151515152
245,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,5,0.3939393939393939
246,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,6,0.43030303030303024
247,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,7,0.709090909090909
248,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,8,0.7575757575757575
249,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,9,0.11515151515151514
250,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,10,0.5878787878787878
251,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,11,0.3939393939393939
252,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,12,0.5272727272727272
253,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,13,0.43030303030303024
254,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,14,0.8787878787878788
255,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,15,0.7454545454545454
256,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,16,0.7575757575757575
257,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,17,0.22424242424242422
258,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,18,0.5757575757575757
259,rat0222,rat0816,rat0222__rat0816,A_vs_A,A_vs_A,19,0.8060606060606059
260,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,0,0.8666666666666665
261,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,1,0.8909090909090909
262,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,2,0.22424242424242422
263,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,3,0.5636363636363636
264,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,4,0.6727272727272726
265,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,5,0.6121212121212121
266,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,6,0.8545454545454544
267,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,7,0.4666666666666666
268,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,8,0.5272727272727272
269,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,9,0.406060606060606
270,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,10,0.8424242424242423
271,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,11,0.8424242424242423
272,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,12,0.3696969696969697
273,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,13,0.16363636363636364
274,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,14,0.7939393939393938
275,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,15,0.8909090909090909
276,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,16,0.8909090909090909
277,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,17,-0.10303030303030303
278,rat0222,rat0816,rat0222__rat0816,A_vs_B,A_vs_B,18,0.4787878787878787
